datetime,city,weather_main,weather_description,temp,feels_like,pressure,wind_speed
2026-05-17T14:24:03+03:00,Moscow,Clouds,broken clouds,25.76,25.49,1012,4.56
2026-05-17T14:24:03+03:00,Moscow,Clouds,broken clouds,25.76,25.49,1012,4.56
2026-05-17T14:24:03+03:00,Moscow,Clouds,broken clouds,25.76,25.49,1012,4.56
2026-05-17T14:24:03+03:00,Moscow,Clouds,broken clouds,25.76,25.49,1012,4.56
2026-05-17T14:34:07+03:00,Moscow,Clouds,broken clouds,25.76,25.49,1012,5.13
2026-05-17T14:34:07+03:00,Moscow,Clouds,broken clouds,25.76,25.49,1012,5.13
2026-05-17T14:34:35+03:00,Moscow,Clouds,broken clouds,25.76,25.49,1012,5.13
2026-05-17T14:34:35+03:00,Moscow,Clouds,broken clouds,25.76,25.49,1012,5.13
2026-05-17T14:34:35+03:00,Moscow,Clouds,broken clouds,25.76,25.49,1012,5.13
2026-05-17T14:39:35+03:00,Moscow,Clouds,broken clouds,25.75,25.48,1012,5.13
2026-05-17T14:39:35+03:00,Moscow,Clouds,broken clouds,25.75,25.48,1012,5.13
2026-05-17T14:34:07+03:00,Moscow,Clouds,broken clouds,25.76,25.49,1012,5.13
2026-05-17T14:34:35+03:00,Moscow,Clouds,broken clouds,25.76,25.49,1012,5.13
2026-05-17T14:34:07+03:00,Moscow,Clouds,broken clouds,25.76,25.49,1012,5.13
2026-05-17T14:34:35+03:00,Moscow,Clouds,broken clouds,25.76,25.49,1012,5.13
2026-05-17T14:43:45+03:00,Moscow,Clouds,broken clouds,26.29,26.29,1012,5.13
2026-05-17T14:43:45+03:00,Moscow,Clouds,broken clouds,26.29,26.29,1012,5.13
2026-05-17T14:49:26+03:00,Moscow,Clouds,broken clouds,26.29,26.29,1012,5.13
2026-05-17T14:47:25+03:00,Moscow,Clouds,broken clouds,26.29,26.29,1012,5.13
2026-05-17T14:47:25+03:00,Moscow,Clouds,broken clouds,26.29,26.29,1012,5.13
2026-05-17T14:51:36+03:00,Moscow,Clouds,broken clouds,25.75,25.48,1012,5.13
2026-05-17T14:47:25+03:00,Moscow,Clouds,broken clouds,26.29,26.29,1012,5.13
2026-05-17T14:51:36+03:00,Moscow,Clouds,broken clouds,25.75,25.48,1012,5.13
2026-05-17T14:43:45+03:00,Moscow,Clouds,broken clouds,26.29,26.29,1012,5.13
2026-05-17T14:47:25+03:00,Moscow,Clouds,broken clouds,26.29,26.29,1012,5.13
